Date,Adj Close,Close,High,Low,Open,Volume
2019-10-30,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-10-31,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-01,12.734800338745117,13.0,13.0,13.0,13.0,128
2019-11-04,12.734800338745117,13.0,13.0,13.0,13.0,120
2019-11-05,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-06,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-07,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-08,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-11,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-12,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-13,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-14,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-15,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-18,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-19,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-20,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-21,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-22,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-25,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-26,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-27,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-28,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-11-29,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-12-02,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-12-03,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-12-04,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-12-05,12.734800338745117,13.0,13.0,13.0,13.0,0
2019-12-06,12.979700088500977,13.25,13.25,13.25,13.25,2342
2019-12-09,12.979700088500977,13.25,13.25,13.25,13.25,0
2019-12-10,12.979700088500977,13.25,13.25,13.25,13.25,0
2019-12-11,12.979700088500977,13.25,13.25,13.25,13.25,0
2019-12-12,12.979700088500977,13.25,13.25,13.25,13.25,0
2019-12-13,12.979700088500977,13.25,13.25,13.25,13.25,0
2019-12-16,12.685819625854492,12.949999809265137,13.25,12.949999809265137,13.100000381469727,3501
2019-12-17,12.244999885559082,12.5,12.5,12.489999771118164,12.5,826
2019-12-18,12.244999885559082,12.5,12.5,12.5,12.5,319
2019-12-19,12.244999885559082,12.5,12.5,12.5,12.5,0
2019-12-20,12.244999885559082,12.5,12.5,12.5,12.5,0
2019-12-23,12.244999885559082,12.5,12.5,12.5,12.5,0
2019-12-24,12.244999885559082,12.5,12.5,12.5,12.5,0
2019-12-27,12.244999885559082,12.5,12.5,12.5,12.5,0
2019-12-30,12.244999885559082,12.5,12.5,12.5,12.5,0
2019-12-31,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-02,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-03,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-06,12.244999885559082,12.5,12.5,12.5,12.5,175
2020-01-07,12.244999885559082,12.5,12.5,12.5,12.5,200
2020-01-08,12.244999885559082,12.5,12.5,12.5,12.5,80
2020-01-09,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-10,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-13,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-14,12.244999885559082,12.5,12.5,12.5,12.5,50
2020-01-15,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-16,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-17,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-20,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-21,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-22,12.244999885559082,12.5,12.5,12.5,12.5,495
2020-01-23,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-24,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-28,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-29,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-30,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-01-31,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-02-03,12.244999885559082,12.5,12.5,12.5,12.5,0
2020-02-04,12.4213285446167,12.680000305175781,12.680000305175781,12.680000305175781,12.680000305175781,1
2020-02-05,12.4213285446167,12.680000305175781,12.680000305175781,12.680000305175781,12.680000305175781,0
2020-02-06,12.4213285446167,12.680000305175781,12.680000305175781,12.680000305175781,12.680000305175781,0
2020-02-07,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,330
2020-02-10,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
2020-02-11,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
2020-02-12,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
2020-02-13,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
2020-02-14,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
2020-02-17,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
2020-02-18,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
2020-02-19,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
2020-02-20,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
2020-02-21,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
2020-02-24,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
2020-02-25,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
2020-02-26,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
2020-02-27,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
2020-02-28,12.538880348205566,12.800000190734863,12.800000190734863,12.800000190734863,12.800000190734863,0
2020-03-02,11.755200386047363,12.0,12.0,12.0,12.0,1888
2020-03-03,11.755200386047363,12.0,12.0,12.0,12.0,0
2020-03-04,11.755200386047363,12.0,12.0,12.0,12.0,0
2020-03-05,11.755200386047363,12.0,12.0,12.0,12.0,0
2020-03-06,11.755200386047363,12.0,12.0,12.0,12.0,0
2020-03-09,11.755200386047363,12.0,12.0,12.0,12.0,0
2020-03-10,11.755200386047363,12.0,12.0,12.0,12.0,0
2020-03-11,11.755200386047363,12.0,12.0,12.0,12.0,0
2020-03-12,11.755200386047363,12.0,12.0,12.0,12.0,0
2020-03-13,11.755200386047363,12.0,12.0,12.0,12.0,0
2020-03-16,11.755200386047363,12.0,12.0,12.0,12.0,0
2020-03-17,11.755200386047363,12.0,12.0,12.0,12.0,0
2020-03-18,11.755200386047363,12.0,12.0,12.0,12.0,0
2020-03-19,11.755200386047363,12.0,12.0,12.0,12.0,0
2020-03-20,9.893960952758789,10.100000381469727,10.109999656677246,10.100000381469727,10.100000381469727,854
2020-03-23,9.893960952758789,10.100000381469727,10.100000381469727,10.100000381469727,10.100000381469727,80
2020-03-24,9.796000480651855,10.0,10.100000381469727,10.0,10.100000381469727,146
2020-03-25,9.796000480651855,10.0,10.0,10.0,10.0,0
2020-03-26,9.796000480651855,10.0,10.0,10.0,10.0,0
2020-03-27,9.796000480651855,10.0,10.0,10.0,10.0,0
2020-03-30,9.796000480651855,10.0,10.0,10.0,10.0,0
2020-03-31,9.796000480651855,10.0,10.0,10.0,10.0,0
2020-04-01,9.796000480651855,10.0,10.0,10.0,10.0,0
2020-04-02,9.796000480651855,10.0,10.0,10.0,10.0,0
2020-04-03,9.796000480651855,10.0,10.0,10.0,10.0,0
2020-04-06,9.796000480651855,10.0,10.0,10.0,10.0,0
2020-04-07,9.30620002746582,9.5,10.0,9.5,10.0,696
2020-04-08,9.30620002746582,9.5,9.5,9.5,9.5,0
2020-04-09,9.30620002746582,9.5,9.5,9.5,9.5,0
2020-04-14,9.30620002746582,9.5,9.5,9.5,9.5,0
2020-04-15,9.30620002746582,9.5,9.5,9.5,9.5,0
2020-04-16,9.698040008544922,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,500
2020-04-17,9.698040008544922,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0
2020-04-20,9.698040008544922,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0
2020-04-21,9.796000480651855,10.0,10.0,10.0,10.0,150
2020-04-22,9.796000480651855,10.0,10.0,10.0,10.0,0
2020-04-23,9.796000480651855,10.0,10.0,10.0,10.0,0
2020-04-24,9.796000480651855,10.0,10.0,10.0,10.0,0
2020-04-27,9.796000480651855,10.0,10.0,10.0,10.0,0
2020-04-28,9.796000480651855,10.0,10.0,10.0,10.0,0
2020-04-29,10.0,10.0,10.0,10.0,10.0,0
2020-04-30,10.0,10.0,10.0,10.0,10.0,0
2020-05-01,10.0,10.0,10.0,10.0,10.0,0
2020-05-04,10.0,10.0,10.0,10.0,10.0,0
2020-05-05,10.0,10.0,10.0,10.0,10.0,0
2020-05-06,10.0,10.0,10.0,10.0,10.0,0
2020-05-07,10.0,10.0,10.0,10.0,10.0,0
2020-05-08,10.0,10.0,10.0,10.0,10.0,0
2020-05-11,10.0,10.0,10.0,10.0,10.0,0
